uniqueid,u,v,length,lanes,speed_mph
59504,401461904,53140554,392.0,1,50
59505,1642975892,1642975894,343.4,2,50
59506,1642975892,3974818867,512.7,1,50
59507,1642975898,33144469,297.7,2,50
59508,1642975894,33144974,236.6,1,50
59509,1642975894,3974818880,461.5,1,50
59510,297652961,30033888,1371.3,2,65
59511,3966620411,53103679,599.0,3,25
59512,65621672,431959344,15.4,1,20
59513,65621672,65470772,485.5,1,20
59514,65621672,667718658,218.9,3,40
59515,665703364,665705317,237.4,2,30
59516,665703373,289652411,39.9,5,35
59517,665703373,665703364,56.0,1,30
59518,91083738,91044835,614.0,1,20
59519,91083738,2725858220,857.2,1,20
59520,91083738,495753363,1069.4,1,20
59521,1690162208,65652285,815.3,1,20
59522,1690162208,65515920,1463.4,1,30
59523,1690162208,65546714,1315.7,1,27
59524,5373809850,5365919468,44.1,1,45
59525,5373809850,5365919485,235.0,1,45
59526,1067308242,49067139,372.3,1,50
59527,91084041,91078169,3456.5,1,20
59528,1067308472,2460844498,64.0,1,50
59529,1067308472,3420318018,48.0,1,50
59530,91084407,91076472,564.6,1,25
59531,91084407,91056251,3914.6,1,20
59532,91084407,91078806,1158.3,1,25
59533,91084444,5172032537,54.4,1,35
59534,91084444,91058039,579.3,1,35
59535,91084444,91094749,1844.1,1,20
59536,257808050,312413173,439.8,3,65
59537,91084703,91048922,451.6,1,20
59538,65621886,312412132,18.6,1,25
59539,65621886,65630140,476.7,3,40
59540,65621886,65515240,161.8,1,20
59541,91085286,91032348,138.8,1,20
59542,91085286,91078152,1750.3,1,20
59543,91085286,816332563,543.9,1,30
59544,187554291,187607577,510.6,1,20
59545,187554291,1774346224,90.8,2,20
59546,519544687,760189989,80.2,3,45
59547,519544687,65445676,24.3,1,25
59548,519544687,760190016,28.9,1,25
59549,257809014,257809659,286.2,1,50
59550,91085463,91070157,435.1,1,20
59551,257809091,257809657,562.0,2,50
59552,257809091,257810783,498.9,4,65
59553,1605229256,2232377548,248.9,4,65
59554,665705316,665705317,14.6,2,25
59555,665705316,435103367,244.4,3,30
59556,665705317,289652355,13.4,2,30
59557,665705317,665705328,714.5,2,25
59558,665705328,65533822,12.3,1,25
59559,665705328,2011559005,98.1,1,25
59560,3958233973,1316708180,10.9,3,25
59561,3958233973,3958247151,1103.9,2,25
59562,3958234014,3958234016,19.0,3,25
59563,3958234014,3958247154,37.3,3,30
59564,3958234015,1316708180,1146.4,3,25
59565,3958234015,3958234014,12.6,3,30
59566,3958234016,53063448,12.3,6,30
59567,3958234016,3981264482,140.0,3,20
59568,91085803,91052181,3145.0,1,20
59569,1079893185,1079893370,56.4,1,25
59570,1079893185,65497354,40.4,1,25
59571,1079893185,246581762,605.6,1,35
59572,1079893188,1079893217,14.8,3,25
59573,1079893188,1079893236,28.0,3,25
59574,1079893199,1079893299,47.0,3,25
59575,1079893217,1079893369,15.8,3,25
59576,1079893217,1079893257,30.6,2,25
59577,1079893236,1079893275,127.0,3,25
59578,1079893236,1079893199,53.2,1,25
59579,257809657,517243011,15.0,1,50
