osmid,x,y,ref,highway,index
65433474,-121.8491672,37.3838301,,,103912
65433475,-121.8495901,37.3844192,,,103913
65433478,-122.3940042,37.58538,,,103914
65433480,-121.8500031,37.3850245,,,103915
65433482,-121.85044840000002,37.385651,,,103916
65433485,-122.2499623,37.4292992,,,103917
65433489,-121.7626818,37.2330768,,,103918
65433496,-121.7615994,37.2321855,,,103919
65433497,-122.2402017,37.4123568,,,103920
65433500,-121.7609256,37.23184570000001,,,103921
65433503,-121.7584812,37.2312376,,,103922
65433505,-122.2340918,37.5364693,,,103923
65433506,-122.2334047,37.5364521,,,103924
65433512,-121.92354740000002,37.4021218,,,103925
65433515,-122.4607259,37.6883789,,traffic_signals,103926
65433521,-122.4602553,37.6881898,,,103927
65433523,-122.4587104,37.68737470000001,,,103928
65433526,-122.4572611,37.6865963,,,103929
65433534,-122.33531440000002,37.5570264,,turning_circle,103930
65433537,-122.335875,37.5580889,,,103931
65433539,-122.33710829999998,37.5596983,,,103932
65433540,-122.3378435,37.5607074,,,103933
65433546,-121.9231329,37.4024591,,,103934
65433553,-121.5967733,37.0057605,,,103935
65433556,-121.5966837,37.0066812,,,103936
65433560,-121.5969331,37.0084822,,,103937
65433563,-121.5967324,37.0106031,,,103938
65433567,-121.9604277,37.347048,,,103939
65433568,-121.9639957,37.3470361,,,103940
65433570,-122.27495659999998,37.3140944,,,103941
65433574,-122.27433329999998,37.3139371,,,103942
65433575,-121.9931593,37.239978,,,103943
65433584,-121.9942382,37.2426571,,,103944
65433594,-122.00517,37.196345,,,103945
65433596,-122.0041222,37.1967592,,,103946
65433600,-122.2743573,37.3144138,,,103947
65433604,-121.9848506,37.1579988,,,103948
65433613,-121.7690692,37.2963974,,,103949
65433620,-121.7668374,37.2974653,,,103950
65433623,-121.7659214,37.297301,,,103951
65433625,-121.7650363,37.2971548,,,103952
65433630,-121.7633975,37.2971388,,,103953
65433633,-121.7611847,37.2970823,,,103954
65433635,-121.7601614,37.29736870000001,,,103955
65433638,-121.7583844,37.298061700000005,,,103956
65433640,-121.7579687,37.2983294,,turning_circle,103957
65433644,-122.2757112,37.3102261,,,103958
65433652,-121.8772007,37.2420883,,,103959
65433654,-121.8777778,37.2420158,,,103960
65433662,-121.8776659,37.23946289999999,,,103961
65433669,-121.894619,37.2676366,,,103962
65433671,-121.8943688,37.26698,,,103963
65433674,-121.8940587,37.2662757,,,103964
65433676,-121.8937972,37.265606,,,103965
65433677,-122.2716574,37.3163393,,,103966
65433678,-121.8935188,37.2649318,,,103967
65433690,-121.9866739,37.3158783,,,103968
65433691,-121.9868369,37.3151069,,,103969
65433693,-121.9874397,37.3127979,,,103970
65433695,-122.2788393,37.4912164,,,103971
65433696,-121.9876682,37.312066,,,103972
65433698,-121.9880488,37.3113512,,,103973
65433701,-121.9880675,37.3093503,,,103974
65433714,-121.8808583,37.3946749,,,103975
65433715,-122.27862079999998,37.492442100000005,,,103976
65433720,-122.02671,37.3030446,,,103977
65433723,-122.0295983,37.3030303,,,103978
65433725,-122.0321553,37.3030231,,,103979
65433742,-121.8278381,37.401397,,,103980
65433743,-122.2765733,37.4899088,,turning_circle,103981
65433745,-121.8273203,37.4008851,,turning_circle,103982
65433748,-121.856184,37.2729816,,,103983
65433750,-122.2158214,37.464580100000006,,,103984
65433751,-121.8557119,37.2712536,,,103985
65433753,-122.2143211,37.46395089999999,,,103986
65433755,-121.879,37.2845191,,,103987
65433757,-121.8799864,37.2846675,,,103988
65433758,-122.2504423,37.4096324,,turning_circle,103989
65433759,-121.8812475,37.2845865,,,103990
65433761,-122.2486181,37.4100708,,,103991
65433763,-121.9901563,37.3372965,,,103992
65433766,-121.990299,37.33665,,turning_circle,103993
65433767,-122.2380835,37.4556097,,,103994
65433771,-121.9879888,37.3143331,,,103995
65433773,-121.9886355,37.3143316,,turning_circle,103996
