SAMPN,PERNO,orig,dest
1432381,2,1272258299,65317060
1432531,1,263254368,263328218
1432531,2,263254368,65392772
1432536,2,1367580656,1066599505
1433052,1,53073084,65283764
1433268,2,2230688698,53098022
1434561,2,65518165,65684148
1435032,2,65444931,65543956
1435171,1,65352339,65317060
1435194,1,65635229,667228644
1435299,1,2804606843,65352339
1435322,2,53062433,4178326163
1436016,1,53099294,65335256
1436422,1,65312677,1723739241
1436422,2,65312677,260193612
1436534,1,310974852,309333413
1436617,1,307624825,65423983
1436617,2,307624825,1230248551
1436617,3,307624825,280699441
1436629,1,257389670,30675695
1436851,1,65443930,3969032763
1437036,1,65379557,65327927
1437087,1,65522420,4176749651
1437526,2,65319944,1080041974
1437624,1,65340931,65303732
1437624,2,65340931,65317060
1438069,1,293561978,53122886
1438069,3,293561978,65520757
1438615,2,65560182,65544720
1438615,3,65560182,65606775
1438615,4,65560182,65388057
1439087,1,2011559031,2424933569
1439087,2,2011559031,1316803298
1439359,1,2322626301,65391664
1439622,1,259138847,65290928
1439758,1,667228644,65436738
1439795,1,65431512,310964635
1439795,2,65431512,65437109
1440125,1,1088577001,65480019
1440125,2,1088577001,1624755431
1440125,3,1088577001,26028756
1440204,1,317528773,1317059254
1440416,1,65461932,65393966
1440553,1,4021550367,53012596
1440787,2,904988837,65335256
1441369,1,53055772,3958311715
1441497,1,2801962141,250043428
1442580,1,53099283,240469798
1442763,1,1422395775,65393966
1442763,2,1422395775,65393966
1443096,1,65467225,65467216
1443392,1,53098239,65335256
1443466,1,65402828,65441639
1443466,2,65402828,65508634
1443905,1,65497144,313455374
1443905,2,65497144,313455374
1444053,1,65379557,1451678540
1444237,2,65641417,3766059022
1444623,1,4176209026,704784837
1444623,2,4176209026,704784837
1444768,1,65530826,26028756
1444768,2,65530826,3695622044
1445077,1,65423938,1480825902
1445106,1,4805063603,287238475
1445106,2,4805063603,5367061446
1445369,1,53024492,65684084
1445369,2,53024492,53046698
1445765,2,65317060,1723739241
1445989,2,4402120168,371261444
1446139,3,53099362,53133844
1446139,4,53099362,603229515
1446567,1,65342038,65322006
1446567,2,65342038,65295355
1446631,2,53142813,3905854403
1447725,2,53073843,65303732
1448265,1,65319944,678295796
1449548,1,65444824,260494517
1450360,1,65303696,53099294
1450360,2,65303696,65335256
1451013,1,312410258,611548392
1451384,1,65312014,53103620
1451605,1,65388057,297165588
1451885,2,4592107433,65443553
1451885,3,4592107433,5660716945
1452586,1,2287632477,260193612
1452586,2,2287632477,1723739241
1452668,2,4590428449,1666841907
1452789,1,65604466,33783809
1452789,2,65604466,65451313
1452839,1,65423874,65475119
1452839,2,65423874,1082323875
1452915,2,1343026192,338840916
1453465,1,452034770,282409368
1453614,1,65466580,3969032763
1453614,2,65466580,65400186
1453833,1,65283764,65473412
1453833,2,65283764,65473412
1454318,2,314175894,5367061446
1455647,1,447948414,1088577001
1455647,2,447948414,344579091
1455647,3,447948414,338840916
1455743,1,53035398,760124024
1455743,2,53035398,2230688743
1455993,3,65316123,65335256
1456036,1,65464709,452939026
1456036,2,65464709,53030266
1456311,1,314481557,262911475
1456311,2,314481557,447948414
1456462,2,263335392,577629771
1456779,1,65648090,65473412
1457830,1,65367771,283240773
1458088,1,53093497,65280184
1458088,2,53093497,260193612
1458115,1,53125747,65335256
1458115,2,53125747,65303696
1458245,1,201453803,53094468
1458245,2,201453803,267632090
1458249,1,65403076,65432017
1458552,1,65512165,65512165
1459010,1,651296334,2822431945
1459041,1,65408395,267293714
1459041,2,65408395,4184297939
1459118,1,206691786,65500480
1459225,2,65367771,65396652
1459225,3,65367771,2089641167
